week_start_date,activity_type,total_distance,total_moving_time,total_elapsed_time,total_elevation_gain,total_average_speed,total_max_speed,total_average_heartrate,total_max_heartrate
2025-05-05,WORKOUT,0.0,6622,6622,0.0,0.0,0.0,135.9333292643229,198.0
2025-04-07,WORKOUT,0.0,1933,1933,0.0,0.0,0.0,136.10000610351562,164.0
2025-02-24,RUN,21328.80078125,7485,7676,27.0,2.6649999618530273,4.02,145.5,185.0
2024-12-30,RUN,10012.2998046875,3568,3594,59.0,2.80649995803833,3.82,145.0999984741211,167.0
2024-12-09,RUN,19423.2001953125,6615,6627,58.0,2.9296666781107583,4.22,152.3000030517578,179.0
2024-11-18,RUN,10021.10009765625,3509,3534,21.699999809265137,2.8679999113082886,4.52,,
2022-03-28,RUN,178.39999389648438,502,803,0.0,0.35499998927116394,2.568,,
2025-03-31,WORKOUT,0.0,4852,4852,0.0,0.0,0.0,133.9499969482422,175.0
2025-02-10,RUN,10111.7001953125,3957,4156,2.0,2.555000066757202,3.86,148.6999969482422,183.0
2025-01-27,WORKOUT,0.0,2044,2044,0.0,0.0,0.0,130.0,174.0
2024-12-16,RUN,23052.89990234375,7766,7990,98.0,2.9606667359670005,4.1,154.1000010172526,185.0
2024-12-02,WORKOUT,0.0,4395,4395,0.0,0.0,0.0,,
2024-11-25,RUN,13775.39990234375,5512,5735,21.399999618530273,2.6019999980926514,5.34,,
2024-10-28,RUN,4326.39990234375,1425,1437,5.0,3.0360000133514404,5.64,,
2025-07-07,WORKOUT,0.0,3114,3114,0.0,0.0,0.0,117.19999694824219,182.0
2025-03-24,WORKOUT,0.0,7615,7615,0.0,0.0,0.0,110.76666514078777,174.0
2025-03-03,WORKOUT,0.0,2055,2055,0.0,0.0,0.0,134.10000610351562,177.0
2025-07-28,WORKOUT,0.0,2219,2219,0.0,0.0,0.0,119.69999694824219,164.0
2025-03-10,RUN,35787.29931640625,12455,12578,103.0,2.8174999952316284,4.04,156.60000610351562,186.0
2025-01-20,WORKOUT,0.0,1991,1991,0.0,0.0,0.0,138.0,180.0
2025-01-06,RUN,19519.800048828125,6893,6951,43.0,2.743000030517578,6.2,144.96666463216147,178.0
2025-12-01,WORKOUT,0.0,7114,7114,0.0,0.0,0.0,108.46666717529297,166.0
2025-11-03,RUN,8897.099609375,3140,3492,23.0,2.8329999446868896,3.8,154.89999389648438,173.0
2025-07-21,WORKOUT,0.0,4843,4843,0.0,0.0,0.0,119.94999694824219,173.0
2025-06-09,RIDE,0.0,2804,2804,0.0,0.0,0.0,146.0,183.0
2025-03-31,RUN,19802.0,6735,6754,115.0,2.903999924659729,3.92,152.9000015258789,179.0
2025-02-10,WORKOUT,0.0,2064,2064,0.0,0.0,0.0,125.0,165.0
2024-12-16,WORKOUT,0.0,1998,1998,0.0,0.0,0.0,139.5,183.0
2024-12-02,RUN,13030.7998046875,4759,4877,52.0,2.7660000324249268,4.32,147.0500030517578,169.0
2025-11-10,WORKOUT,0.0,2311,2311,0.0,0.0,0.0,129.1999969482422,160.0
2025-09-15,WORKOUT,0.0,5389,5389,0.0,0.0,0.0,132.45000457763672,183.0
2025-05-26,RUN,10150.2001953125,3427,3481,46.0,2.9619998931884766,3.46,156.8000030517578,178.0
2025-09-08,WORKOUT,0.0,8595,8595,0.0,0.0,0.0,106.73333231608073,184.0
2025-09-01,WORKOUT,0.0,3121,3121,0.0,0.0,0.0,135.60000610351562,185.0
2025-08-18,WORKOUT,0.0,3183,3183,0.0,0.0,0.0,111.30000305175781,152.0
2025-04-28,WORKOUT,0.0,5133,5133,0.0,0.0,0.0,136.5999984741211,176.0
2025-03-17,RUN,11082.599609375,3622,3622,23.0,3.059999942779541,3.68,156.6999969482422,166.0
2025-06-02,WORKOUT,0.0,6871,6871,0.0,0.0,0.0,125.03333282470703,178.0
2025-04-21,WORKOUT,0.0,7027,7027,0.0,0.0,0.0,132.73332977294922,183.0
2024-12-23,RUN,16365.099609375,5469,5509,6.0,3.137500047683716,4.66,159.8000030517578,189.0
2025-05-12,WORKOUT,0.0,7099,7099,0.0,0.0,0.0,122.5999984741211,183.0
2025-04-07,RUN,47770.0009765625,16061,16065,177.0,3.0019999742507935,12.04,160.25,190.0
2025-02-24,WORKOUT,0.0,3974,3974,0.0,0.0,0.0,139.1999969482422,182.0
2025-01-13,WORKOUT,0.0,1813,1813,0.0,0.0,0.0,130.60000610351562,168.0
2024-12-09,WORKOUT,0.0,2410,2410,0.0,0.0,0.0,132.8000030517578,190.0
2024-11-04,RUN,11078.19970703125,3757,3952,21.799999237060547,2.9455000162124634,4.42,,
2025-09-15,RUN,12819.5,3911,3947,24.0,3.2825000286102295,4.76,183.75,198.0
2025-05-26,WORKOUT,0.0,2270,2270,0.0,0.0,0.0,134.89999389648438,171.0
2025-12-08,WORKOUT,0.0,2864,2864,0.0,0.0,0.0,117.30000305175781,175.0
2025-10-27,WORKOUT,0.0,5088,5088,0.0,0.0,0.0,120.1500015258789,170.0
2025-08-04,WORKOUT,0.0,5176,5176,0.0,0.0,0.0,128.0999984741211,179.0
2025-06-09,WORKOUT,0.0,6704,6704,0.0,0.0,0.0,137.73333231608072,177.0
2025-03-10,WORKOUT,0.0,4041,4041,0.0,0.0,0.0,128.60000228881836,171.0
2025-01-20,RUN,15713.1005859375,5602,5690,55.0,2.8075000047683716,4.9,140.4000015258789,180.0
2025-01-06,WORKOUT,0.0,2270,2270,0.0,0.0,0.0,125.5999984741211,169.0
2025-10-20,WORKOUT,0.0,11510,11510,0.0,0.0,0.0,121.66666920979817,204.0
2025-06-30,WORKOUT,0.0,1858,1858,0.0,0.0,0.0,109.80000305175781,170.0
2025-06-23,WORKOUT,0.0,4811,4811,0.0,0.0,0.0,105.0999984741211,143.0
2025-12-15,WORKOUT,0.0,3025,3025,0.0,0.0,0.0,116.69999694824219,194.0
2025-06-30,RUN,7065.800048828125,2362,2371,43.0,2.874000072479248,4.2,153.6999969482422,200.0
2025-07-07,RUN,14117.5,4476,4476,82.0,3.1540000438690186,6.08,173.8000030517578,198.0
2025-03-24,RUN,26135.59912109375,8307,8555,95.0,3.2015000581741333,4.38,160.29999542236328,183.0
2025-03-03,RUN,17348.5,6752,6928,35.0,2.6829999685287476,3.68,141.6500015258789,169.0
2025-08-18,RUN,8734.10009765625,2734,2751,12.0,3.1419999599456787,4.6,157.1500015258789,195.0
2025-08-11,WORKOUT,0.0,9721,9721,0.0,0.0,0.0,130.6000010172526,179.0
2025-07-14,WORKOUT,0.0,2071,2071,0.0,0.0,0.0,141.0,171.0
2025-05-19,WORKOUT,0.0,8555,8555,0.0,0.0,0.0,133.63333129882812,195.0
2025-03-17,WORKOUT,0.0,2118,2118,0.0,0.0,0.0,133.0,166.0
2025-02-17,WORKOUT,0.0,6838,6838,0.0,0.0,0.0,144.56666819254556,191.0
2024-11-11,RUN,17254.50048828125,6810,6852,34.80000114440918,2.5110000371932983,18.175,,
2024-09-02,RIDE,36264.400390625,5778,12625,84.69999885559082,8.454499959945679,13.305,,
